"C:\Program Files\Java\jdk1.8.0_291\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2021.1.1\lib\idea_rt.jar=49813:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2021.1.1\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\harrizazham98\AppData\Local\Temp\classpath95654607.jar ai.certifai.solution.EXERCISE.forest.DataScienceonForest
11
2021-12-01 14:27:30 INFO  BaseAllocator:382 - Debug mode disabled.
2021-12-01 14:27:30 INFO  DefaultAllocationManagerOption:382 - allocation manager type not specified, using netty as the default type
2021-12-01 14:27:30 INFO  CheckAllocator:386 - Using DefaultAllocationManager at memory-unsafe/4.0.0/arrow-memory-unsafe-4.0.0.jar!/org/apache/arrow/memory/DefaultAllocationManagerFactory.class
516
[10, 2, 90.6, 669.1, 18.0, 33, 0.9, 0.0, 8.062257748]
[10, 6, 90.6, 686.9, 14.6, 33, 1.3, 0.0, 8.062257748]
[3, 5, 91.7, 77.5, 8.3, 97, 4.0, 0.0, 10.0]
[3, 7, 89.3, 102.2, 11.4, 99, 1.8, 0.0, 10.0]
[8, 7, 92.3, 488.0, 22.2, 29, 5.4, 0.0, 10.0]
[8, 1, 92.3, 495.6, 24.1, 27, 3.1, 0.0, 10.0]
[8, 1, 91.5, 608.2, 8.0, 86, 2.2, 0.0, 10.0]
[9, 2, 91.0, 692.6, 13.1, 63, 5.4, 0.0, 10.0]
[9, 6, 92.5, 698.6, 22.8, 40, 4.0, 0.0, 8.602325267]
[9, 6, 92.5, 698.6, 17.8, 51, 7.2, 0.0, 8.602325267]
[9, 6, 92.8, 713.0, 19.3, 38, 4.0, 0.0, 8.602325267]
[8, 5, 63.5, 665.3, 17.0, 72, 6.7, 0.0, 7.810249676]
[9, 1, 90.9, 686.5, 21.3, 42, 2.2, 0.0, 7.810249676]
[9, 3, 92.9, 699.6, 26.4, 21, 4.5, 0.0, 7.810249676]
[9, 5, 93.3, 713.9, 22.9, 44, 5.4, 0.0, 7.810249676]
[3, 6, 91.7, 80.8, 15.1, 27, 5.4, 0.0, 7.071067812]
[10, 1, 84.9, 664.2, 16.7, 47, 4.9, 0.0, 9.433981132]
[3, 3, 89.2, 70.8, 15.9, 35, 4.0, 0.0, 7.211102551]
[4, 6, 86.3, 97.1, 9.3, 44, 4.5, 0.0, 7.211102551]
[9, 2, 91.0, 692.6, 18.3, 40, 2.7, 0.0, 7.211102551]
[9, 1, 91.8, 724.3, 19.1, 38, 2.7, 0.0, 6.403124237]
[6, 7, 94.3, 200.0, 21.0, 44, 4.5, 0.0, 8.062257748]
[8, 6, 90.2, 537.4, 19.5, 43, 5.8, 0.0, 8.062257748]
[8, 6, 93.5, 594.2, 23.7, 32, 5.8, 0.0, 8.062257748]
[8, 7, 91.4, 601.4, 16.3, 60, 5.4, 0.0, 8.062257748]
[9, 5, 92.4, 668.0, 19.0, 34, 5.8, 0.0, 8.062257748]
[9, 1, 90.9, 686.5, 19.4, 48, 1.3, 0.0, 8.062257748]
[9, 6, 93.4, 721.4, 30.2, 24, 2.7, 0.0, 6.708203932]
[9, 7, 93.5, 728.6, 22.8, 39, 3.6, 0.0, 6.708203932]
[9, 5, 94.3, 692.3, 25.4, 24, 3.6, 0.0, 6.708203932]
[9, 1, 88.6, 709.9, 11.2, 78, 7.6, 0.0, 6.708203932]
[9, 5, 88.6, 706.8, 20.6, 37, 1.8, 0.0, 6.708203932]
[9, 7, 91.7, 718.3, 17.7, 39, 3.6, 0.0, 6.708203932]
[9, 1, 91.8, 724.3, 21.2, 32, 2.7, 0.0, 6.708203932]
[9, 2, 90.3, 730.2, 18.2, 62, 4.5, 0.0, 6.708203932]
[10, 2, 90.6, 669.1, 21.7, 24, 4.5, 0.0, 6.708203932]
[10, 5, 90.0, 682.6, 11.3, 60, 5.4, 0.0, 8.062257748]
[10, 6, 90.6, 686.9, 17.8, 27, 4.0, 0.0, 7.615773106]
[3, 2, 88.1, 67.6, 14.1, 43, 2.7, 0.0, 5.656854249]
[7, 2, 79.5, 366.7, 23.3, 37, 3.1, 0.0, 5.656854249]
[8, 6, 90.2, 624.2, 18.4, 42, 6.7, 0.0, 5.656854249]
[8, 2, 94.8, 647.1, 16.6, 54, 5.4, 0.0, 5.656854249]
[9, 6, 92.5, 698.6, 19.6, 48, 2.7, 0.0, 5.656854249]
[9, 3, 90.1, 735.7, 12.9, 74, 4.9, 0.0, 5.656854249]
[9, 3, 94.3, 692.3, 25.9, 24, 4.0, 0.0, 7.810249676]
[9, 1, 90.9, 686.5, 14.7, 70, 3.6, 0.0, 7.810249676]
[7, 1, 94.2, 442.9, 23.0, 36, 3.1, 0.0, 8.485281374]
[3, 1, 87.2, 64.7, 11.8, 35, 1.8, 0.0, 5.656854249]
[3, 1, 87.6, 103.8, 11.0, 46, 5.8, 0.0, 5.656854249]
[9, 4, 92.9, 706.4, 20.8, 17, 1.3, 0.0, 5.656854249]
[8, 7, 90.2, 631.2, 21.5, 34, 2.2, 0.0, 5.0]
[8, 3, 92.1, 654.1, 20.4, 42, 4.9, 0.0, 5.0]
[8, 3, 92.1, 654.1, 20.4, 42, 4.9, 0.0, 5.0]
[8, 4, 91.7, 661.3, 17.6, 45, 3.6, 0.0, 5.0]
[9, 4, 92.9, 706.4, 27.7, 24, 2.2, 0.0, 5.0]
[9, 2, 90.3, 730.2, 17.8, 63, 4.9, 0.0, 5.0]
[10, 7, 92.6, 691.8, 13.8, 50, 2.7, 0.0, 5.0]
[2, 1, 84.0, 34.0, 13.9, 40, 5.4, 0.0, 2.828427125]
[2, 5, 86.6, 43.0, 12.3, 51, 0.9, 0.0, 2.828427125]
[3, 7, 89.3, 102.2, 11.5, 39, 5.8, 0.0, 2.828427125]
[3, 7, 89.3, 102.2, 5.5, 59, 6.3, 0.0, 2.828427125]
[8, 4, 93.0, 466.6, 18.8, 35, 4.9, 0.0, 2.828427125]
[8, 7, 90.2, 631.2, 20.8, 33, 2.7, 0.0, 2.828427125]
[8, 1, 91.1, 638.8, 23.1, 31, 3.1, 0.0, 2.828427125]
[8, 4, 91.7, 661.3, 18.6, 44, 4.5, 0.0, 2.828427125]
[9, 5, 92.4, 668.0, 23.0, 37, 4.5, 0.0, 2.828427125]
[9, 5, 92.4, 668.0, 19.6, 33, 5.4, 0.0, 2.828427125]
[9, 5, 92.4, 668.0, 19.6, 33, 6.3, 0.0, 2.828427125]
[3, 5, 91.7, 77.5, 17.2, 26, 4.5, 0.0, 6.403124237]
[3, 5, 91.2, 97.8, 15.8, 27, 7.6, 0.0, 6.403124237]
[9, 5, 94.3, 692.3, 17.7, 37, 3.6, 0.0, 6.403124237]
[3, 5, 91.7, 77.5, 15.6, 25, 6.3, 0.0, 6.403124237]
[8, 2, 88.8, 614.5, 17.3, 43, 4.5, 0.0, 6.403124237]
[9, 5, 93.3, 713.9, 27.6, 30, 1.3, 0.0, 6.403124237]
[2, 4, 84.2, 26.6, 6.7, 79, 3.1, 0.0, 12.72792206]
[2, 5, 86.6, 43.0, 15.7, 43, 3.1, 0.0, 12.72792206]
[3, 1, 87.6, 103.8, 8.3, 72, 3.1, 0.0, 3.16227766]
